id,exam_board,subject,topic,year,question_number,question_text,options,correct_answer,difficulty,created_at
cedf106fb0f8646d,WAEC,Mathematics,Statistics,2020,1,Mathematics Statistics Question 1: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.381249
17d631cdf68a98d3,WAEC,Mathematics,Statistics,2020,2,Mathematics Statistics Question 2: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453541
3d2e6390d19d8181,WAEC,Mathematics,Trigonometry,2020,3,Mathematics Trigonometry Question 3: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453595
8903dd6105fa1f7b,WAEC,Mathematics,Statistics,2020,4,Mathematics Statistics Question 4: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453618
b6fbd855e8ac8956,WAEC,Mathematics,Set Theory,2020,5,Mathematics Set Theory Question 5: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453639
410ead5169a6d0a1,WAEC,Mathematics,Matrices,2020,6,Mathematics Matrices Question 6: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453660
2bc816a81a1b0847,WAEC,Mathematics,Set Theory,2020,7,Mathematics Set Theory Question 7: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453680
852080d62397bdea,WAEC,Mathematics,Algebra,2020,8,Mathematics Algebra Question 8: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453700
f0a62143f22a6bc4,WAEC,Mathematics,Statistics,2020,9,Mathematics Statistics Question 9: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,easy,2025-12-10T16:51:33.453719
b52b71c0a328627f,WAEC,Mathematics,Trigonometry,2020,10,Mathematics Trigonometry Question 10: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,hard,2025-12-10T16:51:33.453740
9150a8ef72e7c349,WAEC,Mathematics,Set Theory,2020,11,Mathematics Set Theory Question 11: [Question text would be here],Option A: [Answer choice]|Option B: [Answer choice]|Option C: [Answer choice]|Option D: [Answer choice],A,medium,2025-12-10T16:51:33.453760
