Part Name,MPN/Model,Preferred Suppliers,Primary Contact (name/email),Distributor URLs,Estimated Unit Price (USD),Quantity,Notes
Jetson Orin Nano Dev Kit,JNX-ONX-DEV,Digi-Key;NVIDIA Store;Arrow,Sales@nvidia.com;support@digikey.com,https://www.nvidia.com;https://www.digikey.com,499,1,Dev kit for integration and driver bring-up
Jetson Orin Nano Module,JNX-ONX-16GB,Arrow;Avnet;Digi-Key,arrow-sales@arrow.com;avnet@avnet.com,https://www.arrow.com;https://www.avnet.com,399,1,Module for carrier board; lead time ~6w
LoRa Module (SX1262),SX1262-MOD,Murata;Digi-Key,murata-sales@murata.com;sales@digikey.com,https://www.murata.com;https://www.digikey.com,12,2,Pre-certified module; cost varies by cert
Wi-Fi 6 M.2 (AX200),AX200-M.2,Digi-Key;Mouser,sales@digikey.com;support@mouser.com,https://www.digikey.com;https://www.mouser.com,15,1,AX200-based M.2 module; verify antenna connectors
Cellular Modem (Quectel EG25-G),EG25-G,Quectel;Digi-Key;Mouser,sales@quectel.com;sales@digikey.com,https://www.quectel.com,45,1,Consider eSIM/ MFF2 variants; confirm regional bands
LiFePO4 Battery 12.8V 20Ah,LF-12V-20Ah,EVE;Winston,battery-sales@evebattery.com,https://www.evebattery.com,180,1,Include BMS with SMBus telemetry; request UN38.3 docs
MPPT Charge Controller,MPPT-75-15,Victron;TI distributors,info@victronenergy.com,https://www.victronenergy.com,120,1,Commercial MPPT or implement TI ref-design
DC-DC Buck 5V,LM2596,Digi-Key;Mouser,support@digikey.com,https://www.digikey.com,2.5,1,Prefer synchronous buck for efficiency
DC-DC Buck 3.3V,TPS62840,Texas Instruments;Digi-Key,ti-sales@ti.com,https://www.ti.com,1.8,1,Low-noise regulator for sensors
Current Sense Amp,INA219,Digi-Key;Mouser,support@digikey.com,https://www.digikey.com,3.5,1,Optional for power telemetry
Environmental Sensor (SHT4x),SHT4x,Sensirion;sensirion-support@sensirion.com,https://www.sensirion.com,6,2,Accurate temp/humidity sensor (I2C)
Environmental Sensor (BME688),BME688,Bosch;Digi-Key,contact@bosch.com,https://www.bosch-sensortec.com,10,1,Air quality / pressure sensor
GNSS Module,NEO-M8,u-blox;Digi-Key,support@u-blox.com,https://www.u-blox.com,25,1,UART GNSS module; confirm antenna and PPS
Camera Module (MIPI CSI),IMX-XYZ,CameraSupplier;Distributor,contact@camerasupplier.com,https://www.camerasupplier.com,45,1,Select Sony IMX module; confirm MIPI lanes
Antenna (LoRa/Wi-Fi/Cellular),ANT-OMNI,Digi-Key;Mouser,antenna-sales@distributor.com,https://www.digikey.com,8,3,External SMA antennas; check gain and connector
Waterproof Connectors (M12),M12-2/M12-3,Amphenol;TE Connectivity,sales@amphenol.com,https://www.amphenol.com,6,3,Power and Ethernet connectors, IP67 rated
Enclosure (IP67),IP67-BOX,Polycase;Hammond,enclosure-sales@polycase.com,https://www.polycase.com,40,1,Allow custom lid for antennas and glands
Misc (screws, standoffs, test points),VAR-ASSORT,LocalSupplier,procurement@local.com,https://local-supplier.example,25,1,Assembly and test kit
